Time - Setpoint,Amplitude - Setpoint,Time - PV,Amplitude - PV,Time - Error,Amplitude - Error,Kc,4.5
61100,50.48,61100,28.125,61100,22.355,integral,0.002
61101,50.48,61101,30.9375,61101,19.5425,derivativo,0.01
61102,50.48,61102,42.1875,61102,8.2925,,
61103,50.48,61103,56.25,61103,-5.77,,
61104,50.48,61104,64.6875,61104,-14.2075,,
61105,50.48,61105,67.5,61105,-17.02,,
61106,50.48,61106,67.5,61106,-17.02,,
61107,50.48,61107,67.5,61107,-17.02,,
61108,50.48,61108,59.0625,61108,-8.5825,,
61109,50.48,61109,45,61109,5.48,,
61110,50.48,61110,33.75,61110,16.73,,
61111,50.48,61111,30.9375,61111,19.5425,,
61112,50.48,61112,30.9375,61112,19.5425,,
61113,50.48,61113,39.375,61113,11.105,,
61114,-50.48,61114,59.0625,61114,-109.542,,
61115,-50.48,61115,67.5,61115,-117.98,,
61116,-50.48,61116,67.5,61116,-117.98,,
61117,-50.48,61117,67.5,61117,-117.98,,
61118,-50.48,61118,56.25,61118,-106.73,,
61119,-50.48,61119,36.5625,61119,-87.0425,,
61120,-50.48,61120,19.6875,61120,-70.1675,,
61121,-50.48,61121,2.8125,61121,-53.2925,,
61122,-50.48,61122,-11.25,61122,-39.23,,
61123,-50.48,61123,-28.125,61123,-22.355,,
61124,-50.48,61124,-45,61124,-5.48,,
61125,-50.48,61125,-59.0625,61125,8.5825,,
61126,-50.48,61126,-70.3125,61126,19.8325,,
61127,-50.48,61127,-70.3125,61127,19.8325,,
61128,-50.48,61128,-67.5,61128,17.02,,
61129,-50.48,61129,-53.4375,61129,2.9575,,
61130,-50.48,61130,-39.375,61130,-11.105,,
61131,-50.48,61131,-33.75,61131,-16.73,,
61132,-50.48,61132,-33.75,61132,-16.73,,
61133,-50.48,61133,-33.75,61133,-16.73,,
61134,-50.48,61134,-45,61134,-5.48,,
61135,-50.48,61135,-56.25,61135,5.77,,
61136,-50.48,61136,-64.6875,61136,14.2075,,
61137,-50.48,61137,-64.6875,61137,14.2075,,
61138,-50.48,61138,-64.6875,61138,14.2075,,
61139,-50.48,61139,-56.25,61139,5.77,,
61140,-50.48,61140,-45,61140,-5.48,,
61141,-50.48,61141,-36.5625,61141,-13.9175,,
61142,-50.48,61142,-36.5625,61142,-13.9175,,
61143,-50.48,61143,-36.5625,61143,-13.9175,,
61144,-50.48,61144,-42.1875,61144,-8.2925,,
61145,-50.48,61145,-50.625,61145,0.145,,
61146,-50.48,61146,-56.25,61146,5.77,,
61147,-50.48,61147,-59.0625,61147,8.5825,,
61148,-50.48,61148,-59.0625,61148,8.5825,,
61149,-50.48,61149,-59.0625,61149,8.5825,,
61150,-50.48,61150,-53.4375,61150,2.9575,,
61151,-50.48,61151,-47.8125,61151,-2.6675,,
61152,-50.48,61152,-45,61152,-5.48,,
61153,-50.48,61153,-45,61153,-5.48,,
61154,-50.48,61154,-45,61154,-5.48,,
61155,-50.48,61155,-45,61155,-5.48,,
61156,-50.48,61156,-45,61156,-5.48,,
61157,-50.48,61157,-47.8125,61157,-2.6675,,
61158,-50.48,61158,-50.625,61158,0.145,,
61159,-50.48,61159,-50.625,61159,0.145,,
61160,-50.48,61160,-50.625,61160,0.145,,
61161,-50.48,61161,-50.625,61161,0.145,,
61162,-50.48,61162,-50.625,61162,0.145,,
61163,-50.48,61163,-50.625,61163,0.145,,
61164,-50.48,61164,-50.625,61164,0.145,,
61165,-50.48,61165,-50.625,61165,0.145,,
61166,-50.48,61166,-50.625,61166,0.145,,
61167,-50.48,61167,-50.625,61167,0.145,,
61168,-50.48,61168,-50.625,61168,0.145,,
61169,-50.48,61169,-50.625,61169,0.145,,
61170,-50.48,61170,-50.625,61170,0.145,,
61171,-50.48,61171,-50.625,61171,0.145,,
61172,-50.48,61172,-50.625,61172,0.145,,
61173,-50.48,61173,-50.625,61173,0.145,,
61174,-50.48,61174,-50.625,61174,0.145,,
61175,-50.48,61175,-50.625,61175,0.145,,
61176,-50.48,61176,-50.625,61176,0.145,,
61177,-50.48,61177,-50.625,61177,0.145,,
61178,-50.48,61178,-50.625,61178,0.145,,
61179,-50.48,61179,-50.625,61179,0.145,,
61180,-50.48,61180,-50.625,61180,0.145,,
61181,-50.48,61181,-50.625,61181,0.145,,
61182,-50.48,61182,-50.625,61182,0.145,,
61183,-50.48,61183,-50.625,61183,0.145,,
61184,-50.48,61184,-50.625,61184,0.145,,
61185,-50.48,61185,-50.625,61185,0.145,,
61186,-50.48,61186,-50.625,61186,0.145,,
61187,-50.48,61187,-50.625,61187,0.145,,
61188,-50.48,61188,-50.625,61188,0.145,,
61189,-50.48,61189,-50.625,61189,0.145,,
61190,-50.48,61190,-50.625,61190,0.145,,
61191,-50.48,61191,-50.625,61191,0.145,,
61192,-50.48,61192,-50.625,61192,0.145,,
61193,-50.48,61193,-50.625,61193,0.145,,
61194,-50.48,61194,-50.625,61194,0.145,,
61195,-50.48,61195,-50.625,61195,0.145,,
61196,-50.48,61196,-50.625,61196,0.145,,
61197,-50.48,61197,-50.625,61197,0.145,,
61198,-50.48,61198,-50.625,61198,0.145,,
61199,-50.48,61199,-50.625,61199,0.145,,