Time - Setpoint,Amplitude - Setpoint,Time - PV,Amplitude - PV,Time - Error,Amplitude - Error
29163,51.5579,29163,47.8125,29163,3.74538
29164,51.5579,29164,47.8125,29164,3.74538
29165,51.5579,29165,47.8125,29165,3.74538
29166,51.5579,29166,47.8125,29166,3.74538
29167,51.5579,29167,47.8125,29167,3.74538
29168,51.5579,29168,47.8125,29168,3.74538
29169,51.5579,29169,47.8125,29169,3.74538
29170,51.5579,29170,47.8125,29170,3.74538
29171,51.5579,29171,47.8125,29171,3.74538
29172,51.5579,29172,47.8125,29172,3.74538
29173,51.5579,29173,47.8125,29173,3.74538
29174,51.5579,29174,47.8125,29174,3.74538
29175,51.5579,29175,47.8125,29175,3.74538
29176,51.5579,29176,47.8125,29176,3.74538
29177,51.5579,29177,47.8125,29177,3.74538
29178,-54.7552,29178,47.8125,29178,-102.568
29179,-54.7552,29179,47.8125,29179,-102.568
29180,-54.7552,29180,45,29180,-99.7552
29181,-54.7552,29181,33.75,29181,-88.5052
29182,-54.7552,29182,19.6875,29182,-74.4427
29183,-54.7552,29183,2.8125,29183,-57.5677
29184,-54.7552,29184,-14.0625,29184,-40.6927
29185,-54.7552,29185,-30.9375,29185,-23.8177
29186,-54.7552,29186,-47.8125,29186,-6.94269
29187,-54.7552,29187,-64.6875,29187,9.93231
29188,-54.7552,29188,-75.9375,29188,21.1823
29189,-54.7552,29189,-78.75,29189,23.9948
29190,-54.7552,29190,-78.75,29190,23.9948
29191,-54.7552,29191,-75.9375,29191,21.1823
29192,-54.7552,29192,-64.6875,29192,9.93231
29193,-54.7552,29193,-50.625,29193,-4.13019
29194,-54.7552,29194,-42.1875,29194,-12.5677
29195,-54.7552,29195,-39.375,29195,-15.3802
29196,-54.7552,29196,-39.375,29196,-15.3802
29197,-54.7552,29197,-39.375,29197,-15.3802
29198,-54.7552,29198,-45,29198,-9.75519
29199,-54.7552,29199,-56.25,29199,1.49481
29200,-54.7552,29200,-64.6875,29200,9.93231
29201,-54.7552,29201,-67.5,29201,12.7448
29202,-54.7552,29202,-67.5,29202,12.7448
29203,-54.7552,29203,-67.5,29203,12.7448
29204,-54.7552,29204,-64.6875,29204,9.93231
29205,-54.7552,29205,-56.25,29205,1.49481
29206,-54.7552,29206,-47.8125,29206,-6.94269
29207,-54.7552,29207,-45,29207,-9.75519
29208,-54.7552,29208,-45,29208,-9.75519
29209,-54.7552,29209,-45,29209,-9.75519
29210,-54.7552,29210,-45,29210,-9.75519
29211,-54.7552,29211,-47.8125,29211,-6.94269
29212,-54.7552,29212,-56.25,29212,1.49481
29213,-54.7552,29213,-61.875,29213,7.11981
29214,-54.7552,29214,-64.6875,29214,9.93231
29215,-54.7552,29215,-64.6875,29215,9.93231
29216,-54.7552,29216,-64.6875,29216,9.93231
29217,-54.7552,29217,-61.875,29217,7.11981
29218,-54.7552,29218,-56.25,29218,1.49481
29219,-54.7552,29219,-50.625,29219,-4.13019
29220,-54.7552,29220,-47.8125,29220,-6.94269
29221,-54.7552,29221,-47.8125,29221,-6.94269
29222,-54.7552,29222,-47.8125,29222,-6.94269
29223,-54.7552,29223,-47.8125,29223,-6.94269
29224,-54.7552,29224,-47.8125,29224,-6.94269
29225,-54.7552,29225,-47.8125,29225,-6.94269
29226,-54.7552,29226,-53.4375,29226,-1.31769
29227,-54.7552,29227,-56.25,29227,1.49481
29228,-54.7552,29228,-56.25,29228,1.49481
29229,-54.7552,29229,-59.0625,29229,4.30731
29230,-54.7552,29230,-59.0625,29230,4.30731
29231,-54.7552,29231,-59.0625,29231,4.30731
29232,-54.7552,29232,-59.0625,29232,4.30731
29233,-54.7552,29233,-59.0625,29233,4.30731
29234,-54.7552,29234,-59.0625,29234,4.30731
29235,-54.7552,29235,-59.0625,29235,4.30731
29236,-54.7552,29236,-59.0625,29236,4.30731
29237,-54.7552,29237,-59.0625,29237,4.30731
29238,-54.7552,29238,-59.0625,29238,4.30731
29239,-54.7552,29239,-59.0625,29239,4.30731
29240,-54.7552,29240,-59.0625,29240,4.30731
29241,-54.7552,29241,-59.0625,29241,4.30731
29242,-54.7552,29242,-59.0625,29242,4.30731
29243,-54.7552,29243,-59.0625,29243,4.30731
29244,-54.7552,29244,-59.0625,29244,4.30731
29245,-54.7552,29245,-56.25,29245,1.49481
29246,-54.7552,29246,-56.25,29246,1.49481
29247,-54.7552,29247,-56.25,29247,1.49481
29248,-54.7552,29248,-56.25,29248,1.49481
29249,-54.7552,29249,-56.25,29249,1.49481
29250,-54.7552,29250,-56.25,29250,1.49481
29251,-54.7552,29251,-56.25,29251,1.49481
29252,-54.7552,29252,-56.25,29252,1.49481
29253,-54.7552,29253,-56.25,29253,1.49481
29254,-54.7552,29254,-56.25,29254,1.49481
29255,-54.7552,29255,-56.25,29255,1.49481
29256,-54.7552,29256,-56.25,29256,1.49481
29257,-54.7552,29257,-56.25,29257,1.49481
29258,-54.7552,29258,-56.25,29258,1.49481
29259,-54.7552,29259,-56.25,29259,1.49481
29260,-54.7552,29260,-56.25,29260,1.49481
29261,-54.7552,29261,-56.25,29261,1.49481
29262,-54.7552,29262,-56.25,29262,1.49481