Time - Setpoint,Amplitude - Setpoint,Time - PV,Tiempo real,Amplitude - PV,Time - Error,Amplitude - Error,
14495,72.2273,14495,2899,73.0651,14495,-0.837841,0.837841
14496,72.2273,14496,2899.2,73.0651,14496,-0.837841,0.837841
14497,72.2273,14497,2899.4,73.0563,14497,-0.828963,0.828963
14498,72.2273,14498,2899.6,72.8965,14498,-0.669155,0.669155
14499,72.2273,14499,2899.8,73.0296,14499,-0.802328,0.802328
14500,72.2273,14500,2900,73.0119,14500,-0.784572,0.784572
14501,72.2273,14501,2900.2,73.3315,14501,-1.10419,1.10419
14502,72.2273,14502,2900.4,72.7366,14502,-0.509347,0.509347
14503,72.2273,14503,2900.6,73.0918,14503,-0.864476,0.864476
14504,72.2273,14504,2900.8,73.1273,14504,-0.899989,0.899989
14505,72.2273,14505,2901,73.0385,14505,-0.811206,0.811206
14506,72.2273,14506,2901.2,73.3492,14506,-1.12194,1.12194
14507,72.2273,14507,2901.4,72.568,14507,-0.340661,0.340661
14508,72.2273,14508,2901.6,73.0208,14508,-0.79345,0.79345
14509,72.2273,14509,2901.8,73.0208,14509,-0.79345,0.79345
14510,72.2273,14510,2902,73.1273,14510,-0.899989,0.899989
14511,72.2273,14511,2902.2,72.7278,14511,-0.500469,0.500469
14512,72.2273,14512,2902.4,72.9497,14512,-0.722424,0.722424
14513,72.2273,14513,2902.6,73.074,14513,-0.846719,0.846719
14514,72.2273,14514,2902.8,72.9675,14514,-0.740181,0.740181
14515,-58.961,14515,2903,73.0208,14515,-131.982,131.982
14516,-58.961,14516,2903.2,70.7746,14516,-129.736,129.736
14517,-58.961,14517,2903.4,66.4331,14517,-125.394,125.394
14518,-58.961,14518,2903.6,57.2886,14518,-116.25,116.25
14519,-58.961,14519,2903.8,46.6614,14519,-105.622,105.622
14520,-58.961,14520,2904,35.0309,14520,-93.9919,93.9919
14521,-58.961,14521,2904.2,21.9178,14521,-80.8788,80.8788
14522,-58.961,14522,2904.4,9.99441,14522,-68.9554,68.9554
14523,-58.961,14523,2904.6,-1.95563,14523,-57.0054,57.0054
14524,-58.961,14524,2904.8,-13.6127,14524,-45.3483,45.3483
14525,-58.961,14525,2905,-23.7782,14525,-35.1828,35.1828
14526,-58.961,14526,2905.2,-32.683,14526,-26.278,26.278
14527,-58.961,14527,2905.4,-39.2884,14527,-19.6726,19.6726
14528,-58.961,14528,2905.6,-44.633,14528,-14.328,14.328
14529,-58.961,14529,2905.8,-48.0955,14529,-10.8655,10.8655
14530,-58.961,14530,2906,-51.5225,14530,-7.4385,7.4385
14531,-58.961,14531,2906.2,-54.5144,14531,-4.44656,4.44656
14532,-58.961,14532,2906.4,-57.9236,14532,-1.03734,1.03734
14533,-58.961,14533,2906.6,-62.0698,14533,3.10877,3.10877
14534,-58.961,14534,2906.8,-64.8397,14534,5.87876,5.87876
14535,-58.961,14535,2907,-65.6033,14535,6.64228,6.64228
14536,-58.961,14536,2907.2,-63.73,14536,4.76899,4.76899
14537,-58.961,14537,2907.4,-60.6848,14537,1.72377,1.72377
14538,-58.961,14538,2907.6,-59.1044,14538,0.143459,0.143459
14539,-58.961,14539,2907.8,-57.6573,14539,-1.30368,1.30368
14540,-58.961,14540,2908,-57.4087,14540,-1.55227,1.55227
14541,-58.961,14541,2908.2,-57.0713,14541,-1.88964,1.88964
14542,-58.961,14542,2908.4,-57.2489,14542,-1.71208,1.71208
14543,-58.961,14543,2908.6,-57.3998,14543,-1.56115,1.56115
14544,-58.961,14544,2908.8,-57.462,14544,-1.499,1.499
14545,-58.961,14545,2909,-57.533,14545,-1.42798,1.42798
14546,-58.961,14546,2909.2,-57.391,14546,-1.57003,1.57003
14547,-58.961,14547,2909.4,-57.3377,14547,-1.6233,1.6233
14548,-58.961,14548,2909.6,-57.4176,14548,-1.54339,1.54339
14549,-58.961,14549,2909.8,-57.5952,14549,-1.36583,1.36583
14550,-58.961,14550,2910,-57.4176,14550,-1.54339,1.54339
14551,-58.961,14551,2910.2,-57.3288,14551,-1.63218,1.63218
14552,-58.961,14552,2910.4,-57.5508,14552,-1.41022,1.41022
14553,-58.961,14553,2910.6,-57.5685,14553,-1.39246,1.39246
14554,-58.961,14554,2910.8,-57.5685,14554,-1.39246,1.39246
14555,-58.961,14555,2911,-57.3288,14555,-1.63218,1.63218
14556,-58.961,14556,2911.2,-57.2311,14556,-1.72984,1.72984
14557,-58.961,14557,2911.4,-57.4265,14557,-1.53452,1.53452
14558,-58.961,14558,2911.6,-57.5863,14558,-1.37471,1.37471
14559,-58.961,14559,2911.8,-57.533,14559,-1.42798,1.42798
14560,-58.961,14560,2912,-57.6662,14560,-1.2948,1.2948
14561,-58.961,14561,2912.2,-57.3288,14561,-1.63218,1.63218
14562,-58.961,14562,2912.4,-57.4886,14562,-1.47237,1.47237
14563,-58.961,14563,2912.6,-57.5863,14563,-1.37471,1.37471
14564,-58.961,14564,2912.8,-57.6129,14564,-1.34807,1.34807
14565,-58.961,14565,2913,-57.3199,14565,-1.64105,1.64105
14566,-58.961,14566,2913.2,-57.1868,14566,-1.77423,1.77423
14567,-58.961,14567,2913.4,-57.5596,14567,-1.40134,1.40134
14568,-58.961,14568,2913.6,-57.6573,14568,-1.30368,1.30368
14569,-58.961,14569,2913.8,-57.3821,14569,-1.57891,1.57891
14570,-58.961,14570,2914,-57.5153,14570,-1.44573,1.44573
14571,-58.961,14571,2914.2,-57.4886,14571,-1.47237,1.47237
14572,-58.961,14572,2914.4,-57.6484,14572,-1.31256,1.31256
14573,-58.961,14573,2914.6,-57.3554,14573,-1.60554,1.60554
14574,-58.961,14574,2914.8,-57.4353,14574,-1.52564,1.52564
14575,-58.961,14575,2915,-57.5153,14575,-1.44573,1.44573
14576,-58.961,14576,2915.2,-57.6751,14576,-1.28593,1.28593
14577,-58.961,14577,2915.4,-57.6218,14577,-1.3392,1.3392
14578,-58.961,14578,2915.6,-57.4087,14578,-1.55227,1.55227
14579,-58.961,14579,2915.8,-57.391,14579,-1.57003,1.57003
14580,-58.961,14580,2916,-57.5952,14580,-1.36583,1.36583
14581,-58.961,14581,2916.2,-57.6573,14581,-1.30368,1.30368
14582,-58.961,14582,2916.4,-58.3054,14582,-0.655577,0.655577
14583,-58.961,14583,2916.6,-57.5952,14583,-1.36583,1.36583
14584,-58.961,14584,2916.8,-57.4176,14584,-1.54339,1.54339
14585,-58.961,14585,2917,-57.6218,14585,-1.3392,1.3392
14586,-58.961,14586,2917.2,-57.604,14586,-1.35695,1.35695
14587,-58.961,14587,2917.4,-58.19,14587,-0.770993,0.770993
14588,-58.961,14588,2917.6,-57.604,14588,-1.35695,1.35695
14589,-58.961,14589,2917.8,-57.5419,14589,-1.4191,1.4191
14590,-58.961,14590,2918,-57.5241,14590,-1.43686,1.43686
14591,-58.961,14591,2918.2,-57.5863,14591,-1.37471,1.37471
14592,-58.961,14592,2918.4,-58.2433,14592,-0.717724,0.717724
14593,-58.961,14593,2918.6,-57.5241,14593,-1.43686,1.43686
14594,-58.961,14594,2918.8,-57.4531,14594,-1.50788,1.50788
,,,,,,,0.143459