Time - Setpoint,Amplitude - Setpoint,Time - PV,Tiempo real,Amplitude - PV,Time - Error,Amplitude - Error
13810,74.4434,13810,2762,79.5551,13810,-5.11172
13811,74.4434,13811,2762.2,68.5639,13811,5.87952
13812,74.4434,13812,2762.4,63.4234,13812,11.02
13813,74.4434,13813,2762.6,67.7382,13813,6.70519
13814,74.4434,13814,2762.8,77.6729,13814,-3.22953
13815,74.4434,13815,2763,82.5027,13815,-8.05928
13816,74.4434,13816,2763.2,79.7948,13816,-5.35143
13817,74.4434,13817,2763.4,70.9077,13817,3.53567
13818,74.4434,13818,2763.6,65.7406,13818,8.70279
13819,74.4434,13819,2763.8,67.8891,13819,6.55426
13820,74.4434,13820,2764,77.2379,13820,-2.7945
13821,74.4434,13821,2764.2,81.535,13821,-7.09156
13822,74.4434,13822,2764.4,78.1257,13822,-3.68232
13823,74.4434,13823,2764.6,68.8036,13823,5.6398
13824,74.4434,13824,2764.8,65.6785,13824,8.76493
13825,74.4434,13825,2765,72.0086,13825,2.43477
13826,74.4434,13826,2765.2,82.3074,13826,-7.86396
13827,74.4434,13827,2765.4,86.8353,13827,-12.3919
13828,74.4434,13828,2765.6,82.6891,13828,-8.24573
13829,74.4434,13829,2765.8,73.3049,13829,1.13855
13830,74.4434,13830,2766,66.3266,13830,8.11682
13831,74.4434,13831,2766.2,64.3823,13831,10.0612
13832,74.4434,13832,2766.4,70.7746,13832,3.66884
13833,74.4434,13833,2766.6,80.8425,13833,-6.39906
13834,74.4434,13834,2766.8,85.1573,13834,-10.7139
13835,74.4434,13835,2767,80.6827,13835,-6.23925
13836,74.4434,13836,2767.2,70.8722,13836,3.57118
13837,74.4434,13837,2767.4,66.1934,13837,8.25
13838,74.4434,13838,2767.6,69.2653,13838,5.17814
13839,74.4434,13839,2767.8,78.5341,13839,-4.09072
13840,74.4434,13840,2768,82.4938,13840,-8.05041
13841,74.4434,13841,2768.2,78.0813,13841,-3.63793
13842,74.4434,13842,2768.4,69.1765,13842,5.26692
13843,74.4434,13843,2768.6,64.6575,13843,9.78593
13844,74.4434,13844,2768.8,68.9545,13844,5.48887
13845,74.4434,13845,2769,78.9425,13845,-4.49912
13846,74.4434,13846,2769.2,83.3017,13846,-8.85832
13847,74.4434,13847,2769.4,78.8981,13847,-4.45473
13848,74.4434,13848,2769.6,69.8424,13848,4.60105
13849,74.4434,13849,2769.8,64.2047,13849,10.2387
13850,74.4434,13850,2770,67.8891,13850,6.55426
13851,74.4434,13851,2770.2,77.9304,13851,-3.487
13852,74.4434,13852,2770.4,82.2008,13852,-7.75743
13853,74.4434,13853,2770.6,79.4397,13853,-4.9963
13854,74.4434,13854,2770.8,70.7391,13854,3.70435
13855,74.4434,13855,2771,65.7495,13855,8.69391
13856,74.4434,13856,2771.2,66.9037,13856,7.53974
13857,74.4434,13857,2771.4,75.6487,13857,-1.2053
13858,74.4434,13858,2771.6,79.3509,13858,-4.90752
13859,74.4434,13859,2771.8,79.786,13859,-5.34255
13860,74.4434,13860,2772,71.5914,13860,2.85204
13861,74.4434,13861,2772.2,68.3597,13861,6.08371
13862,74.4434,13862,2772.4,68.2887,13862,6.15474
13863,74.4434,13863,2772.6,76.6963,13863,-2.25293
13864,74.4434,13864,2772.8,81.5083,13864,-7.06492
13865,74.4434,13865,2773,79.9546,13865,-5.51124
13866,74.4434,13866,2773.2,71.1918,13866,3.25156
13867,74.4434,13867,2773.4,68.5728,13867,5.87064
13868,74.4434,13868,2773.6,71.1741,13868,3.26932
13869,74.4434,13869,2773.8,79.2977,13869,-4.85425
13870,74.4434,13870,2774,81.7658,13870,-7.32239
13871,74.4434,13871,2774.2,78.2589,13871,-3.8155
13872,74.4434,13872,2774.4,69.0611,13872,5.38234
13873,74.4434,13873,2774.6,63.3879,13873,11.0555
13874,74.4434,13874,2774.8,67.6938,13874,6.74958
13875,74.4434,13875,2775,77.4243,13875,-2.98094
13876,74.4434,13876,2775.2,82.5204,13876,-8.07704
13877,74.4434,13877,2775.4,81.4817,13877,-7.03829
13878,74.4434,13878,2775.6,74.4413,13878,0.00213713
13879,74.4434,13879,2775.8,69.9045,13879,4.5389
13880,74.4434,13880,2776,69.1499,13880,5.29355
13881,74.4434,13881,2776.2,74.5478,13881,-0.104401
13882,74.4434,13882,2776.4,82.0943,13882,-7.65089
13883,74.4434,13883,2776.6,82.2985,13883,-7.85509
13884,74.4434,13884,2776.8,74.5123,13884,-0.0688886
13885,74.4434,13885,2777,64.3379,13885,10.1055
13886,74.4434,13886,2777.2,60.9286,13886,13.5148
13887,74.4434,13887,2777.4,66.4154,13887,8.02804
13888,74.4434,13888,2777.6,76.4921,13888,-2.04873
13889,74.4434,13889,2777.8,80.3808,13889,-5.93739
13890,74.4434,13890,2778,79.786,13890,-5.34255
13891,74.4434,13891,2778.2,71.325,13891,3.11839
13892,74.4434,13892,2778.4,66.7439,13892,7.69955
13893,74.4434,13893,2778.6,66.6817,13893,7.7617
13894,74.4434,13894,2778.8,75.0184,13894,-0.574947
13895,74.4434,13895,2779,79.7771,13895,-5.33367
13896,74.4434,13896,2779.2,78.9514,13896,-4.508
13897,74.4434,13897,2779.4,71.4138,13897,3.02961
13898,74.4434,13898,2779.6,67.7205,13898,6.72295
13899,74.4434,13899,2779.8,69.5582,13899,4.88516
13900,74.4434,13900,2780,77.3622,13900,-2.9188
13901,74.4434,13901,2780.2,82.405,13901,-7.96162
13902,74.4434,13902,2780.4,81.4462,13902,-7.00278
13903,74.4434,13903,2780.6,73.8819,13903,0.561465
13904,74.4434,13904,2780.8,69.3097,13904,5.13375
13905,74.4434,13905,2781,68.5816,13905,5.86176
13906,74.4434,13906,2781.2,75.7552,13906,-1.31184
13907,74.4434,13907,2781.4,80.3186,13907,-5.87524
13908,74.4434,13908,2781.6,78.1346,13908,-3.6912
13909,74.4434,13909,2781.8,71.1652,13909,3.2782